Northern Hemisphere Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
188410,-0.32
188411,-0.32
188412,-0.25
188501,-0.27
188502,-0.15
188503,-0.18
188504,-0.22
188505,-0.20
188506,-0.28
188507,-0.29
188508,-0.19
188509,-0.18
188510,-0.06
188511,-0.05
188512,0.02
188601,-0.01
188602,-0.11
188603,-0.13
188604,-0.14
188605,-0.13
188606,-0.15
188607,-0.20
188608,-0.36
188609,-0.30
188610,-0.18
188611,-0.18
188612,-0.23
188701,-0.33
188702,-0.24
188703,-0.14
188704,-0.13
188705,-0.25
188706,-0.11
188707,-0.26
188708,-0.27
188709,-0.16
188710,-0.21
188711,-0.06
188712,0.02
188801,0.04
188802,-0.07
188803,-0.09
188804,0.05
188805,0.19
188806,0.25
188807,0.13
188808,-0.03
188809,0.05
188810,0.19
188811,0.19
188812,0.33
188901,0.33
188902,0.30
188903,0.18
188904,0.05
188905,0.05
188906,-0.01
188907,-0.01
188908,-0.05
188909,-0.09
188910,-0.15
188911,-0.14
188912,-0.22
189001,-0.26
189002,-0.25
189003,-0.13
189004,-0.12
189005,-0.11
189006,-0.09
189007,-0.27
189008,-0.36
189009,-0.41
189010,-0.23
189011,-0.35
189012,-0.18
189101,-0.22
189102,-0.17
189103,-0.03
189104,-0.02
189105,0.00
189106,0.04
189107,0.06
189108,0.03
189109,0.06
189110,-0.04
189111,-0.13
189112,0.00
189201,-0.03
189202,0.01
189203,-0.12
189204,-0.08
189205,-0.08
189206,-0.17
189207,-0.30
189208,-0.20
189209,-0.19
189210,-0.43
189211,-0.33
189212,-0.37
189301,-0.37
189302,-0.32
189303,-0.34
189304,-0.22
189305,-0.25
189306,-0.16
189307,-0.20
189308,-0.27
189309,-0.30
189310,-0.37
189311,-0.39
189312,-0.38
189401,-0.40
189402,-0.42
189403,-0.33
189404,-0.30
189405,-0.29
189406,-0.37
189407,-0.25
189408,-0.25
189409,-0.22
189410,-0.22
189411,-0.14
189412,-0.16
189501,-0.10
189502,-0.16
189503,-0.27
189504,-0.15
189505,-0.17
189506,-0.12
189507,-0.14
189508,-0.09
189509,0.01
189510,0.12
189511,0.04
189512,0.00
189601,-0.10
189602,-0.02
189603,0.03
189604,-0.03
189605,0.01
189606,-0.01
189607,0.05
189608,0.06
189609,0.02
189610,0.07
189611,0.14
189612,0.21
189701,0.03
189702,0.00
189703,0.07
189704,0.11
189705,0.02
189706,-0.05
189707,0.02
189708,-0.03
189709,-0.02
189710,-0.08
189711,-0.12
189712,-0.07
189801,-0.06
189802,-0.06
189803,-0.18
189804,-0.19
189805,-0.15
189806,-0.06
189807,-0.08
189808,-0.21
189809,-0.17
189810,-0.20
189811,-0.23
189812,-0.19
189901,-0.19
189902,-0.32
189903,-0.33
189904,-0.21
189905,-0.21
189906,-0.24
189907,-0.11
189908,0.01
189909,-0.07
189910,-0.09
189911,0.01
189912,0.03
190001,0.03
190002,0.08
190003,0.01
190004,0.03
190005,-0.03
190006,-0.04
190007,0.01
190008,-0.05
190009,0.10
190010,0.16
190011,0.03
190012,0.07
190101,0.05
190102,0.04
190103,0.04
190104,0.00
190105,-0.03
190106,0.02
190107,-0.05
190108,-0.09
190109,-0.19
190110,-0.23
190111,-0.18
190112,-0.21
190201,-0.18
190202,-0.18
190203,-0.16
190204,-0.10
190205,-0.21
190206,-0.34
190207,-0.26
190208,-0.26
190209,-0.22
190210,-0.11
190211,-0.01
190212,-0.04
190301,-0.09
190302,-0.21
190303,-0.20
190304,-0.31
190305,-0.37
190306,-0.35
190307,-0.46
190308,-0.53
190309,-0.47
190310,-0.45
190311,-0.48
190312,-0.41
190401,-0.47
190402,-0.47
190403,-0.55
190404,-0.44
190405,-0.49
190406,-0.53
190407,-0.58
190408,-0.61
190409,-0.55
190410,-0.47
190411,-0.47
190412,-0.51
190501,-0.48
190502,-0.35
190503,-0.25
190504,-0.36
190505,-0.30
190506,-0.22
190507,-0.18
190508,-0.23
190509,-0.24
190510,-0.24
190511,-0.17
190512,-0.17
190601,-0.18
190602,-0.18
190603,-0.19
190604,-0.15
190605,-0.37
190606,-0.22
190607,-0.23
190608,-0.26
190609,-0.29
190610,-0.35
190611,-0.21
190612,-0.24
190701,-0.29
190702,-0.38
190703,-0.22
190704,-0.20
190705,-0.33
190706,-0.28
190707,-0.33
190708,-0.40
190709,-0.47
190710,-0.38
190711,-0.36
190712,-0.38
190801,-0.40
190802,-0.34
190803,-0.41
190804,-0.45
190805,-0.46
190806,-0.50
190807,-0.54
190808,-0.57
190809,-0.52
190810,-0.54
190811,-0.47
190812,-0.42
190901,-0.40
190902,-0.50
190903,-0.48
190904,-0.47
190905,-0.40
190906,-0.52
190907,-0.57
190908,-0.50
190909,-0.49
190910,-0.45
190911,-0.53
190912,-0.44
191001,-0.38
191002,-0.48
191003,-0.56
191004,-0.45
191005,-0.34
191006,-0.47
191007,-0.58
191008,-0.52
191009,-0.45
191010,-0.45
191011,-0.44
191012,-0.49
191101,-0.42
191102,-0.47
191103,-0.43
191104,-0.48
191105,-0.54
191106,-0.46
191107,-0.57
191108,-0.47
191109,-0.38
191110,-0.31
191111,-0.25
191112,-0.22
191201,-0.24
191202,-0.16
191203,-0.15
191204,-0.20
191205,-0.19
191206,-0.25
191207,-0.33
191208,-0.47
191209,-0.57
191210,-0.45
191211,-0.53
191212,-0.44
191301,-0.36
191302,-0.36
191303,-0.38
191304,-0.44
191305,-0.50
191306,-0.52
191307,-0.54
191308,-0.53
191309,-0.47
191310,-0.34
191311,-0.31
191312,-0.24
191401,-0.23
191402,-0.24
191403,-0.27
191404,-0.29
191405,-0.24
191406,-0.33
191407,-0.36
191408,-0.30
191409,-0.28
191410,-0.12
191411,-0.14
191412,-0.05
191501,-0.03
191502,-0.06
191503,-0.07
191504,-0.12
191505,-0.12
191506,-0.08
191507,-0.02
191508,-0.02
191509,-0.07
191510,-0.10
191511,-0.12
191512,-0.14
191601,-0.12
191602,-0.11
191603,-0.24
191604,-0.28
191605,-0.33
191606,-0.36
191607,-0.35
191608,-0.37
191609,-0.41
191610,-0.41
191611,-0.46
191612,-0.49
191701,-0.54
191702,-0.51
191703,-0.53
191704,-0.54
191705,-0.55
191706,-0.44
191707,-0.35
191708,-0.39
191709,-0.32
191710,-0.36
191711,-0.38
191712,-0.28
191801,-0.27
191802,-0.38
191803,-0.35
191804,-0.33
191805,-0.31
191806,-0.32
191807,-0.30
191808,-0.29
191809,-0.29
191810,-0.20
191811,-0.03
191812,-0.08
191901,-0.08
191902,-0.11
191903,-0.11
191904,-0.18
191905,-0.31
191906,-0.35
191907,-0.38
191908,-0.47
191909,-0.34
191910,-0.21
191911,-0.25
191912,-0.32
192001,-0.32
192002,-0.16
192003,-0.19
192004,-0.22
192005,-0.22
192006,-0.19
192007,-0.28
192008,-0.35
192009,-0.29
192010,-0.32
192011,-0.27
192012,-0.23
192101,-0.16
192102,-0.21
192103,-0.19
192104,-0.21
192105,-0.22
192106,-0.28
192107,-0.19
192108,-0.21
192109,-0.07
192110,0.00
192111,-0.09
192112,-0.09
192201,-0.13
192202,-0.14
192203,-0.11
192204,-0.18
192205,-0.23
192206,-0.31
192207,-0.34
192208,-0.35
192209,-0.37
192210,-0.31
192211,-0.22
192212,-0.25
192301,-0.25
192302,-0.34
192303,-0.31
192304,-0.24
192305,-0.21
192306,-0.24
192307,-0.28
192308,-0.37
192309,-0.25
192310,-0.20
192311,-0.06
192312,0.00
192401,-0.12
192402,-0.14
192403,-0.08
192404,-0.06
192405,-0.05
192406,-0.15
192407,-0.24
192408,-0.29
192409,-0.29
192410,-0.35
192411,-0.35
192412,-0.38
192501,-0.37
192502,-0.33
192503,-0.29
192504,-0.26
192505,-0.14
192506,-0.17
192507,-0.18
192508,-0.17
192509,-0.16
192510,-0.07
192511,0.01
192512,0.03
192601,0.08
192602,0.06
192603,-0.03
192604,0.00
192605,-0.04
192606,-0.06
192607,-0.07
192608,-0.08
192609,-0.01
192610,-0.01
192611,0.04
192612,0.01
192701,-0.06
192702,-0.12
192703,-0.11
192704,-0.12
192705,-0.18
192706,-0.18
192707,-0.12
192708,-0.07
192709,-0.10
192710,0.00
192711,0.06
192712,-0.01
192801,0.01
192802,-0.11
192803,-0.09
192804,-0.19
192805,-0.18
192806,-0.23
192807,-0.12
192808,-0.19
192809,-0.13
192810,-0.17
192811,-0.18
192812,-0.24
192901,-0.25
192902,-0.27
192903,-0.24
192904,-0.26
192905,-0.23
192906,-0.27
192907,-0.23
192908,-0.14
192909,-0.12
192910,-0.15
192911,-0.13
192912,-0.14
193001,-0.07
193002,-0.11
193003,-0.07
193004,-0.10
193005,-0.14
193006,-0.11
193007,-0.09
193008,-0.07
193009,0.12
193010,0.18
193011,0.19
193012,0.14
193101,0.12
193102,0.05
193103,0.09
193104,-0.05
193105,0.00
193106,0.07
193107,-0.03
193108,-0.01
193109,0.00
193110,-0.05
193111,-0.13
193112,-0.15
193201,-0.09
193202,-0.13
193203,-0.11
193204,-0.15
193205,-0.15
193206,-0.17
193207,-0.20
193208,-0.12
193209,-0.09
193210,-0.09
193211,-0.11
193212,-0.11
193301,-0.10
193302,-0.09
193303,-0.10
193304,-0.06
193305,-0.17
193306,-0.25
193307,-0.21
193308,-0.21
193309,-0.26
193310,-0.18
193311,-0.24
193312,-0.31
193401,-0.26
193402,-0.28
193403,-0.25
193404,-0.18
193405,-0.14
193406,0.01
193407,-0.01
193408,-0.05
193409,0.00
193410,-0.09
193411,-0.08
193412,-0.09
193501,-0.16
193502,-0.10
193503,-0.11
193504,-0.06
193505,-0.11
193506,-0.11
193507,-0.10
193508,-0.10
193509,-0.13
193510,-0.01
193511,0.02
193512,0.02
193601,-0.02
193602,0.04
193603,0.05
193604,0.06
193605,-0.01
193606,0.03
193607,-0.03
193608,0.04
193609,0.06
193610,-0.04
193611,-0.07
193612,-0.01
193701,-0.02
193702,0.10
193703,0.11
193704,0.08
193705,0.05
193706,0.11
193707,0.16
193708,0.19
193709,0.20
193710,0.14
193711,0.17
193712,0.12
193801,0.07
193802,0.03
193803,-0.01
193804,-0.05
193805,-0.02
193806,-0.03
193807,-0.11
193808,-0.05
193809,-0.07
193810,-0.06
193811,-0.14
193812,-0.20
193901,-0.24
193902,-0.18
193903,-0.18
193904,-0.14
193905,-0.06
193906,-0.07
193907,-0.03
193908,0.05
193909,0.14
193910,0.17
193911,0.09
193912,0.09
194001,0.14
194002,0.06
194003,0.12
194004,0.10
194005,0.21
194006,0.19
194007,0.20
194008,0.17
194009,0.19
194010,0.24
194011,0.33
194012,0.33
194101,0.37
194102,0.45
194103,0.29
194104,0.32
194105,0.31
194106,0.21
194107,0.27
194108,0.26
194109,0.34
194110,0.54
194111,0.59
194112,0.48
194201,0.17
194202,0.20
194203,0.24
194204,0.22
194205,0.25
194206,0.11
194207,0.11
194208,0.11
194209,0.12
194210,0.07
194211,0.15
194212,0.09
194301,0.13
194302,0.08
194303,0.03
194304,0.04
194305,0.04
194306,0.00
194307,-0.01
194308,0.11
194309,0.17
194310,0.23
194311,0.21
194312,0.09
194401,0.14
194402,0.23
194403,0.23
194404,0.23
194405,0.26
194406,0.31
194407,0.33
194408,0.34
194409,0.41
194410,0.34
194411,0.30
194412,0.28
194501,0.32
194502,0.36
194503,0.24
194504,0.33
194505,0.30
194506,0.26
194507,0.27
194508,0.37
194509,0.30
194510,0.15
194511,0.21
194512,0.26
194601,0.21
194602,0.00
194603,0.09
194604,0.15
194605,0.10
194606,0.06
194607,0.01
194608,0.00
194609,0.09
194610,0.08
194611,-0.03
194612,-0.14
194701,-0.04
194702,0.05
194703,0.04
194704,0.05
194705,0.04
194706,0.14
194707,0.01
194708,-0.05
194709,-0.17
194710,-0.15
194711,-0.13
194712,-0.10
194801,-0.18
194802,-0.17
194803,-0.25
194804,-0.12
194805,0.06
194806,0.05
194807,0.08
194808,0.10
194809,-0.11
194810,-0.13
194811,-0.13
194812,0.00
194901,0.05
194902,0.07
194903,-0.07
194904,-0.01
194905,-0.04
194906,-0.07
194907,0.04
194908,-0.02
194909,-0.07
194910,-0.08
194911,-0.08
194912,-0.02
195001,-0.03
195002,-0.02
195003,0.01
195004,-0.06
195005,0.00
195006,-0.01
195007,-0.04
195008,-0.03
195009,-0.05
195010,-0.09
195011,-0.05
195012,0.00
195101,-0.03
195102,-0.02
195103,0.02
195104,0.06
195105,0.14
195106,0.21
195107,0.30
195108,0.32
195109,0.33
195110,0.29
195111,0.21
195112,0.23
195201,0.12
195202,0.13
195203,0.17
195204,0.19
195205,0.20
195206,0.19
195207,0.12
195208,0.17
195209,0.16
195210,0.15
195211,0.05
195212,0.10
195301,0.08
195302,0.11
195303,0.17
195304,0.21
195305,0.20
195306,0.18
195307,0.23
195308,0.22
195309,0.19
195310,0.16
195311,0.14
195312,0.08
195401,0.07
195402,0.10
195403,0.03
195404,0.02
195405,0.06
195406,0.00
195407,-0.05
195408,-0.03
195409,-0.01
195410,-0.09
195411,-0.04
195412,-0.10
195501,-0.05
195502,-0.02
195503,-0.06
195504,-0.10
195505,-0.06
195506,-0.10
195507,0.05
195508,0.06
195509,0.02
195510,-0.11
195511,-0.06
195512,-0.01
195601,0.07
195602,-0.04
195603,-0.06
195604,-0.04
195605,-0.12
195606,-0.13
195607,-0.09
195608,-0.07
195609,-0.11
195610,-0.02
195611,-0.13
195612,-0.07
195701,-0.04
195702,0.07
195703,0.07
195704,0.10
195705,0.13
195706,0.20
195707,0.27
195708,0.31
195709,0.25
195710,0.21
195711,0.24
195712,0.30
195801,0.31
195802,0.33
195803,0.39
195804,0.30
195805,0.22
195806,0.27
195807,0.21
195808,0.25
195809,0.24
195810,0.19
195811,0.14
195812,0.17
195901,0.22
195902,0.19
195903,0.15
195904,0.20
195905,0.20
195906,0.18
195907,0.20
195908,0.19
195909,0.23
195910,0.15
195911,0.09
195912,0.12
196001,0.13
196002,0.21
196003,0.12
196004,0.07
196005,0.16
196006,0.13
196007,0.22
196008,0.19
196009,0.16
196010,0.12
196011,0.09
196012,0.13
196101,0.10
196102,0.17
196103,0.15
196104,0.19
196105,0.18
196106,0.19
196107,0.14
196108,0.17
196109,0.10
196110,0.13
196111,0.07
196112,0.15
196201,0.11
196202,0.11
196203,0.18
196204,0.13
196205,0.09
196206,0.06
196207,0.18
196208,0.15
196209,0.16
196210,0.11
196211,0.05
196212,0.08
196301,0.10
196302,0.13
196303,0.08
196304,0.17
196305,0.15
196306,0.14
196307,0.21
196308,0.27
196309,0.21
196310,0.24
196311,0.31
196312,0.22
196401,0.15
196402,0.10
196403,0.01
196404,0.02
196405,0.09
196406,0.05
196407,0.01
196408,-0.13
196409,-0.15
196410,-0.19
196411,-0.20
196412,-0.22
196501,-0.17
196502,-0.14
196503,-0.09
196504,-0.10
196505,-0.05
196506,-0.06
196507,-0.06
196508,0.01
196509,0.01
196510,0.05
196511,0.13
196512,0.10
196601,0.13
196602,0.17
196603,0.25
196604,0.19
196605,0.08
196606,0.13
196607,0.18
196608,0.17
196609,0.11
